ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
1LboZXpXVZt7GpFdBN83l9,0.611,0.904,2,-7.977,1,0.113,0.0796,0.893,0.207,0.235,140.024,445179,4,2018,10
3STfWtRNGrVUbYGXLsIRv1,0.575,0.933,9,-5.748,1,0.0714,0.00021,0.759,0.457,0.305,148.042,476757,4,2019,5
1ROJqYdQWVFdiAxWirecMm,0.662,0.505,2,-9.435,1,0.0567,0.00876,0.0166,0.607,0.774,120.02,130000,4,2019,28
5RYmvUdReCPnF1K1fHhM9L,0.717,0.81,4,-11.496,0,0.0608,0.00831,0.835,0.698,0.0351,126.985,432782,4,2016,25
31YACYJbfnyoqN0TYxrLsm,0.776,0.503,1,-10.749,1,0.044,0.00342,0,0.126,0.255,129.978,145528,4,2020,32
23bOfmnZiN42pB1frXNyak,0.548,0.829,1,-4.103,0,0.285,0.339,0,0.537,0.452,187.24,194739,4,2015,63
64gxE7cT3zyvtApCGyZQjL,0.664,0.553,0,-8.026,1,0.12,0.102,0,0.301,0.798,192.004,214688,4,2016,51
2kRTbe2hic1AXomauvyA7P,0.592,0.75,1,-6.061,0,0.0393,0.00125,0.767,0.131,0.255,140.026,449143,4,2020,4
3espdiN7XMjuPelnCwJH1W,0.737,0.935,5,-4.803,0,0.0684,0.291,0.135,0.389,0.662,122.913,171933,4,2015,36
3qdRwIwWa5nVZnNp43uYrx,0.904,0.854,5,-3.528,0,0.179,0.0175,9.70E-05,0.296,0.351,130.074,121846,4,2020,68
32OkBQinMWqa7ZydEkHqVi,0.886,0.542,1,-5.424,1,0.338,0.113,0,0.151,0.314,167.038,138997,4,2018,61
3tLhjMOfbdRGQNudmIABp4,0.797,0.853,0,-4.269,1,0.105,0.000699,0,0.118,0.595,196.086,217867,4,2020,56
73VoNWaUd7si3wWUMMZ8oz,0.708,0.995,5,-1.66,0,0.237,0.00248,0.000445,0.471,0.357,150.079,198400,4,2017,18
4Fh3B5KEkGsDQpBx5G8ZpZ,0.486,0.854,11,-4.73,1,0.0552,0.064,0.0268,0.707,0.0526,124.967,184332,4,2016,15
5KW57QHAvnUWKkDjOByOc5,0.717,0.77,10,-6.431,0,0.0862,0.00987,0.699,0.0931,0.728,138.016,473261,4,2018,27
4zrYnAzX1CMRt9SoZdixMz,0.757,0.625,1,-7.271,1,0.143,0.336,0.345,0.129,0.389,146.023,172253,4,2020,62
25GcNk1AqlRmtcdWONCc3z,0.78,0.75,1,-3.5,1,0.205,0.00344,0.00122,0.346,0.348,150.02,201600,4,2018,30
5CIJyCxAgrwwd0v1KeA134,0.606,0.758,4,-6.249,0,0.0432,0.000107,0.854,0.112,0.0339,126.014,385238,4,2019,3
5byKgHfLyJiP3n8xbO9L78,0.49,0.344,7,-10.674,1,0.0826,0.752,0.019,0.14,0.374,115.087,182404,4,2019,51
2QvyGma8gBshSJAJHGi4Bh,0.512,0.694,10,-10.296,1,0.063,0.021,0.927,0.203,0.188,120.948,143802,4,2018,21
3SrCfTBzhmkF72dQR1y43E,0.569,0.979,7,-5.462,1,0.0465,5.50E-05,0.785,0.181,0.332,146.992,465305,4,2019,26
0osPX8TruIebOhKuG6GK8C,0.72,0.514,1,-7.108,1,0.132,0.146,0.00713,0.107,0.212,142.98,272160,4,2011,64
6PdChQVmEHSyzgbxHb8Cyk,0.603,0.822,0,-9.36,1,0.0349,0.00669,0.838,0.23,0.0356,131.989,336136,4,2019,11
3PDbTEFp7A7u4oUztl5Bt4,0.85,0.481,0,-9.124,0,0.494,0.0406,0,0.113,0.231,192.054,201018,4,2020,48
0rFZaQ4crlGAzuCjWCQ2xu,0.577,0.576,2,-6.299,1,0.0563,0.0143,0,0.602,0.12,133.973,234040,4,2013,66
0QAxSzJuQZDTcG0rh2tILi,0.633,0.893,7,-5.569,0,0.0488,0.00434,0.729,0.403,0.151,172.015,376825,4,2012,2
0OPfZM09RUjE46nIeJGCfX,0.649,0.561,0,-6.297,0,0.102,0.0273,0,0.122,0.311,170.036,182880,4,2017,53
13M03mjykEmt1OYNhTnoYV,0.621,0.918,1,-5.978,1,0.428,0.00268,0,0.178,0.0773,184.946,103787,4,2019,51
3ZdEHXpN2DmrqhRww7o5Ua,0.734,0.87,1,-8.52,1,0.0466,0.00143,0.881,0.127,0.0353,128.01,450000,3,2013,10
3k9ufBycFbJCCWo9XowWzL,0.52,0.783,8,-8.043,0,0.034,0.446,0.932,0.139,0.295,219.982,174545,4,2019,9
0dteFGQP3vVISrzq9cAwLV,0.482,0.928,7,-5.894,0,0.0757,0.00335,0.057,0.045,0.38,149.991,348850,4,2010,21
4cM4qfuHQyCcteTESAEgKx,0.662,0.824,1,-2.072,1,0.407,0.0923,0,0.11,0.7,174.06,153307,4,2017,10
0aZgW8Nzg38hN00pEFyIEj,0.798,0.557,8,-7.4,1,0.175,0.0186,0.000947,0.124,0.526,174.006,146207,4,2020,63
0ptI9BhgSlvQSA5wFFGDeB,0.417,0.994,9,-4.456,0,0.0806,0.000235,0.558,0.0961,0.0417,139.996,390964,4,2019,14
3FtOLFXtOSXZb0to7ap5Wl,0.576,0.824,6,-5.658,0,0.0515,0.122,0.938,0.101,0.123,174.023,331035,4,2016,33
5N29ih9ybP41mcrBtpwWsE,0.496,0.873,2,-3.544,0,0.0745,0.00709,0.686,0.396,0.27,174.046,297809,4,2019,19
7bawB3ehz7vRtu2nQ0Zf2J,0.935,0.671,2,-5.795,0,0.127,0.262,0,0.124,0.502,220.008,184432,4,2019,20
6S7JYWOfGE5Sk3L9cAlATH,0.895,0.759,2,-4.97,1,0.311,0.106,0,0.321,0.38,200.102,192361,4,2019,50
6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,210285,4,2017,79
7iSF948xf7oP1HjSFONclU,0.806,0.97,7,-7.323,1,0.101,0.00827,0.497,0.0567,0.387,123.014,304390,4,2018,2
3a3dQOO19moXPeTt2PomoT,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71E-06,0.104,0.135,137.134,238242,4,2019,71
